date,state,State Date,fips,cases,deaths,population,CaseCapita,DeathCapita,Pact
2020-02-15,Wisconsin,Wisconsin43876,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-16,Arizona,Arizona43877,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-16,California,California43877,6,7,0,39937500,1.75274E-07,0,Western
2020-02-16,Illinois,Illinois43877,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-16,Massachusetts,Massachusetts43877,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-16,Texas,Texas43877,48,2,0,29472300,6.78603E-08,0,N/A
2020-02-16,Washington,Washington43877,53,1,0,7797100,1.28253E-07,0,Western
2020-02-16,Wisconsin,Wisconsin43877,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-17,Arizona,Arizona43878,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-17,California,California43878,6,7,0,39937500,1.75274E-07,0,Western
2020-02-17,Illinois,Illinois43878,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-17,Massachusetts,Massachusetts43878,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-17,Nebraska,Nebraska43878,31,10,0,1952570,5.12146E-06,0,N/A
2020-02-17,Texas,Texas43878,48,2,0,29472300,6.78603E-08,0,N/A
2020-02-17,Washington,Washington43878,53,1,0,7797100,1.28253E-07,0,Western
2020-02-17,Wisconsin,Wisconsin43878,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-18,Arizona,Arizona43879,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-18,California,California43879,6,7,0,39937500,1.75274E-07,0,Western
2020-02-18,Illinois,Illinois43879,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-18,Massachusetts,Massachusetts43879,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-18,Nebraska,Nebraska43879,31,10,0,1952570,5.12146E-06,0,N/A
2020-02-18,Texas,Texas43879,48,2,0,29472300,6.78603E-08,0,N/A
2020-02-18,Washington,Washington43879,53,1,0,7797100,1.28253E-07,0,Western
2020-02-18,Wisconsin,Wisconsin43879,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-19,Arizona,Arizona43880,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-19,California,California43880,6,7,0,39937500,1.75274E-07,0,Western
2020-02-19,Illinois,Illinois43880,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-19,Massachusetts,Massachusetts43880,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-19,Nebraska,Nebraska43880,31,10,0,1952570,5.12146E-06,0,N/A
2020-02-19,Texas,Texas43880,48,2,0,29472300,6.78603E-08,0,N/A
2020-02-19,Washington,Washington43880,53,1,0,7797100,1.28253E-07,0,Western
2020-02-19,Wisconsin,Wisconsin43880,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-20,Arizona,Arizona43881,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-20,California,California43881,6,8,0,39937500,2.00313E-07,0,Western
2020-02-20,Illinois,Illinois43881,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-20,Massachusetts,Massachusetts43881,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-20,Nebraska,Nebraska43881,31,11,0,1952570,5.6336E-06,0,N/A
2020-02-20,Texas,Texas43881,48,2,0,29472300,6.78603E-08,0,N/A
2020-02-20,Washington,Washington43881,53,1,0,7797100,1.28253E-07,0,Western
2020-02-20,Wisconsin,Wisconsin43881,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-21,Arizona,Arizona43882,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-21,California,California43882,6,9,0,39937500,2.25352E-07,0,Western
2020-02-21,Illinois,Illinois43882,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-21,Massachusetts,Massachusetts43882,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-21,Nebraska,Nebraska43882,31,11,0,1952570,5.6336E-06,0,N/A
2020-02-21,Texas,Texas43882,48,4,0,29472300,1.35721E-07,0,N/A
2020-02-21,Washington,Washington43882,53,1,0,7797100,1.28253E-07,0,Western
2020-02-21,Wisconsin,Wisconsin43882,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-22,Arizona,Arizona43883,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-22,California,California43883,6,9,0,39937500,2.25352E-07,0,Western
2020-02-22,Illinois,Illinois43883,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-22,Massachusetts,Massachusetts43883,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-22,Nebraska,Nebraska43883,31,11,0,1952570,5.6336E-06,0,N/A
2020-02-22,Texas,Texas43883,48,4,0,29472300,1.35721E-07,0,N/A
2020-02-22,Washington,Washington43883,53,1,0,7797100,1.28253E-07,0,Western
2020-02-22,Wisconsin,Wisconsin43883,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-23,Arizona,Arizona43884,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-23,California,California43884,6,9,0,39937500,2.25352E-07,0,Western
2020-02-23,Illinois,Illinois43884,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-23,Massachusetts,Massachusetts43884,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-23,Nebraska,Nebraska43884,31,11,0,1952570,5.6336E-06,0,N/A
2020-02-23,Texas,Texas43884,48,4,0,29472300,1.35721E-07,0,N/A
2020-02-23,Washington,Washington43884,53,1,0,7797100,1.28253E-07,0,Western
2020-02-23,Wisconsin,Wisconsin43884,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-24,Arizona,Arizona43885,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-24,California,California43885,6,11,0,39937500,2.7543E-07,0,Western
2020-02-24,Illinois,Illinois43885,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-24,Massachusetts,Massachusetts43885,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-24,Nebraska,Nebraska43885,31,12,0,1952570,6.14575E-06,0,N/A
2020-02-24,Texas,Texas43885,48,10,0,29472300,3.39302E-07,0,N/A
2020-02-24,Washington,Washington43885,53,5,0,7797100,6.41264E-07,0,Western
2020-02-24,Wisconsin,Wisconsin43885,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-25,Arizona,Arizona43886,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-25,California,California43886,6,11,0,39937500,2.7543E-07,0,Western
2020-02-25,Illinois,Illinois43886,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-25,Massachusetts,Massachusetts43886,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-25,Nebraska,Nebraska43886,31,13,0,1952570,6.65789E-06,0,N/A
2020-02-25,Texas,Texas43886,48,10,0,29472300,3.39302E-07,0,N/A
2020-02-25,Utah,Utah43886,49,1,0,3282120,3.04681E-07,0,N/A
2020-02-25,Washington,Washington43886,53,5,0,7797100,6.41264E-07,0,Western
2020-02-25,Wisconsin,Wisconsin43886,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-26,Arizona,Arizona43887,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-26,California,California43887,6,26,0,39937500,6.51017E-07,0,Western
2020-02-26,Illinois,Illinois43887,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-26,Massachusetts,Massachusetts43887,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-26,Nebraska,Nebraska43887,31,13,0,1952570,6.65789E-06,0,N/A
2020-02-26,Texas,Texas43887,48,10,0,29472300,3.39302E-07,0,N/A
2020-02-26,Utah,Utah43887,49,1,0,3282120,3.04681E-07,0,N/A
2020-02-26,Washington,Washington43887,53,5,0,7797100,6.41264E-07,0,Western
2020-02-26,Wisconsin,Wisconsin43887,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-27,Arizona,Arizona43888,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-27,California,California43888,6,26,0,39937500,6.51017E-07,0,Western
